ClassID,ClassNames
1,beaver
2,dolphin
3,otter
4,seal
5,whale
6,aquarium fish
7,flatfish
8,ray
9,shark
10,trout
11,orchids
12,poppies
13,roses
14,sunflowers
15,tulips
16,bottles
17,bowls
18,cans
19,cups
20,plates
21,apples
22,mushrooms
23,oranges
24,pears
25,sweet peppers
26,clock
27,computer keyboard
28,lamp
29,telephone
30,television
31,bed
32,chair
33,couch
34,table
35,wardrobe
36,bee
37,beetle
38,butterfly
39,caterpillar
40,cockroach
41,bear
42,leopard
43,lion
44,tiger
45,wolf
46,bridge
47,castle
48,house
49,road
50,skyscraper
51,cloud
52,forest
53,mountain
54,plain
55,sea
56,camel
57,cattle
58,chimpanzee
59,elephant
60,kangaroo
61,fox
62,porcupine
63,possum
64,raccoon
65,skunk
66,crab
67,lobster
68,snail
69,spider
70,worm
71,baby
72,boy
73,girl
74,man
75,woman
76,crocodile
77,dinosaur
78,lizard
79,snake
80,turtle
81,hamster
82,mouse
83,rabbit
84,shrew
85,squirrel
86,maple
87,oak
88,palm
89,pine
90,willow
91,bicycle
92,bus
93,motorcycle
94,pickup truck
95,train
96,lawn-mower
97,rocket
98,streetcar
99,tank
100,tractor
